location,listings,avg_rating,avg_cost,avg_votes
BTM,5124,3.573740458015267,396.480972930561,120.87743950039032
HSR,2523,3.6721644378405154,475.6100478468899,198.06579468886247
Koramangala 5th Block,2504,4.005821474773609,663.6638452237002,886.3841853035144
JP Nagar,2235,3.675305765870705,522.7713004484305,262.4577181208054
Whitefield,2144,3.621618204804045,598.1528363806844,217.73740671641792
Indiranagar,2083,3.82815376285869,653.7880274779195,574.1752280364858
Jayanagar,1926,3.780279975654291,476.40771637122003,253.41640706126688
Marathahalli,1846,3.541926541926542,513.7506834335702,241.170639219935
Bannerghatta Road,1630,3.5074493927125503,443.67965367965365,134.40306748466259
Bellandur,1286,3.525691699604743,527.5038880248834,160.20762052877137
Electronic City,1258,3.4909523809523813,497.406523468576,88.2631160572337
Koramangala 1st Block,1238,3.6968309859154926,431.3257881972514,203.32552504038773
Brigade Road,1218,3.705228136882129,650.935960591133,352.72577996715927
Koramangala 7th Block,1181,3.850377358490566,594.1326530612245,419.41066892464016
Koramangala 6th Block,1156,3.778087279480037,616.3024475524476,402.3451557093426
Sarjapur Road,1065,3.6861431870669743,574.4549763033175,380.0431924882629
Ulsoor,1023,3.758303886925795,765.8308751229105,176.8396871945259
Koramangala 4th Block,1017,3.918668252080856,696.3618485742379,673.7030481809243
MG Road,918,3.8558569667077682,1155.7046979865772,470.7091503267974
Banashankari,906,3.6498655913978495,421.2251655629139,179.2207505518764
Kalyan Nagar,853,3.781948424068768,581.4588235294118,197.6799531066823
Richmond Road,812,3.8205882352941174,756.2810945273632,147.0615763546798
Frazer Town,727,3.614912280701754,426.80555555555554,135.81292984869327
Malleshwaram,725,3.759657320872274,551.3674033149172,329.6151724137931
Basavanagudi,684,3.6710924369747904,360.9795321637427,138.7704678362573
Residency Road,675,3.8636363636363638,966.3204747774481,432.52444444444444
Banaswadi,664,3.4960416666666663,397.01378254211335,53.700301204819276
Brookefield,658,3.597614678899083,439.6341463414634,180.83738601823708
New BEL Road,649,3.688976377952756,483.3075734157651,271.00924499229586
Kammanahalli,648,3.6674650698602798,455.2093023255814,163.8564814814815
Rajajinagar,591,3.615401301518438,435.8714043993232,144.2876480541455
Church Street,569,3.9921245421245417,834.8857644991213,1045.6572934973638
Lavelle Road,529,4.142505133470226,1307.9349904397704,956.8733459357278
Shanti Nagar,511,3.5222826086956522,451.2720156555773,109.34637964774952
Shivajinagar,499,3.4989169675090253,344.78957915831666,31.39879759519038
Domlur,496,3.5511002444987776,605.1452282157676,195.02822580645162
Cunningham Road,491,3.9010526315789473,864.969450101833,586.2993890020366
Old Airport Road,446,3.654189944134078,666.1625282167043,310.0627802690583
Ejipura,439,3.477692307692308,320.5069124423963,39.31435079726651
Commercial Street,370,3.5588888888888888,392.2972972972973,69.08918918918918
St. Marks Road,352,4.017201166180758,871.3068181818181,755.9630681818181
Koramangala 8th Block,320,3.731896551724138,359.7682119205298,73.553125
Vasanth Nagar,295,3.6832653061224487,562.2866894197953,115.10169491525424
Jeevan Bhima Nagar,272,3.5800796812749005,401.54411764705884,175.9375
Wilson Garden,246,3.536363636363636,413.2113821138211,29.841463414634145
Bommanahalli,238,3.1909722222222223,403.68220338983053,32.365546218487395
Koramangala 3rd Block,216,4.020418848167539,778.4722222222222,579.4398148148148
Kumaraswamy Layout,195,3.4645962732919253,372.3076923076923,85.78461538461538
Thippasandra,194,3.537593984962406,357.62886597938143,68.54123711340206
Basaveshwara Nagar,191,3.6467153284671534,429.14438502673795,94.93717277486911
Nagawara,187,3.5031847133757963,432.88770053475935,104.58823529411765
Seshadripuram,165,3.704929577464789,684.8484848484849,108.26666666666667
Hennur,161,3.4939655172413793,383.9622641509434,59.75776397515528
Majestic,155,3.501801801801802,387.4193548387097,26.025806451612905
HBR Layout,153,3.676767676767677,421.5686274509804,80.85620915032679
Infantry Road,151,3.7964285714285713,1062.2516556291391,341.42384105960264
Race Course Road,139,3.7822222222222224,1309.3525179856115,197.73381294964028
City Market,126,3.5368421052631582,302.368,22.293650793650794
Yeshwantpur,119,3.5026785714285715,430.672268907563,58.65546218487395
"Varthur Main Road, Whitefield",117,3.5674418604651166,356.0869565217391,48.598290598290596
"ITPL Main Road, Whitefield",113,3.5756410256410254,501.7699115044248,68.00884955752213
South Bangalore,107,3.496629213483146,330.1869158878505,34.074766355140184
Hosur Road,102,3.7902777777777774,559.8039215686274,86.24509803921569
Koramangala 2nd Block,102,3.749425287356322,622.5490196078431,72.17647058823529
Kaggadasapura,101,3.5122222222222224,415.34653465346537,91.39603960396039
CV Raman Nagar,90,3.4786885245901638,311.1111111111111,34.266666666666666
Vijay Nagar,80,3.6046875,368.97435897435895,95.0375
RT Nagar,80,3.4393442622950823,394.2307692307692,80.95
Sanjay Nagar,76,3.5,371.7105263157895,40.38157894736842
Sadashiv Nagar,63,3.839655172413793,717.4603174603175,313.12698412698415
Sahakara Nagar,53,3.6333333333333333,439.62264150943395,128.62264150943398
Koramangala,48,3.7266666666666666,398.9583333333333,120.08333333333333
East Bangalore,44,3.475,401.16279069767444,59.45454545454545
Jalahalli,38,3.4869565217391307,430.2631578947368,17.263157894736842
Magadi Road,34,3.4375,341.1764705882353,24.91176470588235
Rammurthy Nagar,32,3.3461538461538463,401.5625,40.09375
Sankey Road,27,3.965384615384615,2505.5555555555557,237.44444444444446
Langford Town,27,3.8074074074074074,883.3333333333334,195.59259259259258
Old Madras Road,22,3.1818181818181817,488.6363636363636,73.0909090909091
Mysore Road,22,3.658823529411765,427.27272727272725,51.90909090909091
Kanakapura Road,19,3.478947368421052,523.6842105263158,39.31578947368421
KR Puram,18,3.54,347.22222222222223,15.38888888888889
Uttarahalli,17,3.511111111111111,361.7647058823529,41.294117647058826
North Bangalore,14,3.34,332.14285714285717,118.78571428571429
Hebbal,14,3.6,535.7142857142857,32.142857142857146
Nagarbhavi,9,3.4,538.8888888888889,1.1111111111111112
Kengeri,9,3.7222222222222223,500.0,50.666666666666664
Central Bangalore,8,3.625,387.5,153.125
West Bangalore,6,3.3666666666666667,350.0,185.0
Yelahanka,6,3.6399999999999997,310.0,31.5
Jakkur,3,,400.0,0.0
Rajarajeshwari Nagar,2,3.85,725.0,366.0
Peenya,1,3.2,300.0,5.0
